"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )";"Average per person per year/Time travelled     (hours)"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Groningen (PV)";"2022";292;5994;133,4
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Groningen (PV)";"2023";302;5170;118,8
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Fryslân (PV)";"2018";370;8034;156,4
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Fryslân (PV)";"2019";356;8346;160,3
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Fryslân (PV)";"2020";342;6377;130,6
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Fryslân (PV)";"2021";334;6392;130,2
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Fryslân (PV)";"2022";366;7261;158,5
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Fryslân (PV)";"2023";371;7397;149,4
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Drenthe (PV)";"2018";427;8840;180,3
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Drenthe (PV)";"2019";421;7626;161,1
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Drenthe (PV)";"2020";345;5287;120,1
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Drenthe (PV)";"2021";351;5859;133,5
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Drenthe (PV)";"2022";383;6649;148,9
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Drenthe (PV)";"2023";404;7850;163,6
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Overijssel (PV)";"2018";386;7269;155,7
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Overijssel (PV)";"2019";355;6668;149,4
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Overijssel (PV)";"2020";319;5160;122
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Overijssel (PV)";"2021";327;5591;129,2
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Overijssel (PV)";"2022";328;5920;132,2
