"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )";"Average per person per year/Time travelled     (hours)"
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2018";9;78;2,5
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2019";8;70;2,2
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2021";7;60;2
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2022";8;77;2,5
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2023";7;50;1,9
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2018";8;;2,5
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2020";5;46;1,9
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2021";5;55;1,7
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2022";5;43;1,6
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2023";7;48;1,9
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2018";7;60;2,4
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2019";7;47;1,8
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2020";6;37;1,7
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2021";6;62;1,9
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2022";6;77;2,4
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2023";8;60;2,2
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2018";8;57;2,3
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2019";10;78;2,8
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2020";5;31;1,4
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2021";5;44;1,6
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2022";7;50;2,2
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zuid-Holland (PV)";"2023";6;44;2,2
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Zeeland (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2018";9;61;2,5
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2019";10;63;2,4
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2020";7;56;1,7
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2021";6;45;1,5
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2022";8;77;2,4
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Brabant (PV)";"2023";7;78;2,9
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2022";13;80;3
"Attending education/courses";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"The Netherlands";"2018";5;230;6,5
"Attending education/courses";"Population 6 years or older";"Train";"Value";"The Netherlands";"2019";6;239;6,8
"Attending education/courses";"Population 6 years or older";"Train";"Value";"The Netherlands";"2020";2;79;2,5
"Attending education/courses";"Population 6 years or older";"Train";"Value";"The Netherlands";"2021";3;101;3,3
"Attending education/courses";"Population 6 years or older";"Train";"Value";"The Netherlands";"2022";4;151;4,6
"Attending education/courses";"Population 6 years or older";"Train";"Value";"The Netherlands";"2023";4;175;5,5
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Flevoland (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Flevoland (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Flevoland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Flevoland (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Flevoland (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Flevoland (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Gelderland (PV)";"2018";5;233;6,4
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Gelderland (PV)";"2019";7;274;8,2
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Gelderland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Gelderland (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Gelderland (PV)";"2022";5;228;6,5
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Gelderland (PV)";"2023";6;167;6,1
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2018";5;198;5,5
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2021";3;122;3,9
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2022";4;167;5,2
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Utrecht (PV)";"2023";5;193;6,5
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2018";6;231;7,2
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2019";6;212;6,9
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2021";3;115;3,9
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2022";4;158;5,3
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Noord-Holland (PV)";"2023";5;164;5,8
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2018";5;178;5,7
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2019";5;178;5,5
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2020";2;68;2,4
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2021";3;83;3
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2022";3;105;3,7
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Zuid-Holland (PV)";"2023";3;144;4,8
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Zeeland (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2018";4;225;5,9
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2019";6;299;7,6
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Noord-Brabant (PV)";"2023";4;162;5,3
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2018";9;405;10,6
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Train";"Value";"Limburg (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2018";6;113;4,8
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2019";6;107;4,4
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2020";3;51;2,1
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2021";3;51;2,3
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2022";5;80;3,8
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2023";4;72;3,4
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Groningen (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Fryslân (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Drenthe (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Overijssel (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Flevoland (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2018";4;74;2,6
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Gelderland (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2022";5;93;4,4
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Utrecht (PV)";"2023";4;73;3,9
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2018";8;115;5,4
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2019";7;108;5
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2020";4;69;3
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2021";4;54;2,7
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2022";7;92;4,7
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Holland (PV)";"2023";5;72;4
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2018";10;141;7
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2019";9;140;6,9
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2020";4;54;2,7
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2021";5;73;3,7
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2022";7;88;5
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Zuid-Holland (PV)";"2023";8;103;5,8
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Zeeland (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2018";4;91;3,9
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Noord-Brabant (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2018";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2019";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2020";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2021";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2022";;;
"Attending education/courses";"Population 6 years or older";"Bus/tram/metro";"Value";"Limburg (PV)";"2023";;;
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2018";44;158;12,6
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2019";42;154;12,4
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2020";27;97;7,8
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2021";27;96;8,1
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2022";35;127;10,5
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2023";34;133;10,5
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2018";53;174;13,8
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2019";54;191;15,1
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2020";30;100;8,3
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2021";30;96;8,7
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2022";37;154;11
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Groningen (PV)";"2023";31;115;8,9
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2018";41;178;11,9
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2019";47;154;12,9
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2020";26;114;8,1
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2021";25;93;7,2
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2022";42;156;12,2
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Fryslân (PV)";"2023";33;135;9,4
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2018";49;197;14,9
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2019";34;165;10,4
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2020";27;119;8,2
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2021";31;150;10
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2022";32;157;11,6
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Drenthe (PV)";"2023";35;203;12,6
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2018";55;205;16,3
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2019";51;194;14,9
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2020";34;140;10,4
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2021";32;128;9,6
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2022";37;123;9,9
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Overijssel (PV)";"2023";43;167;12,3
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2018";40;168;12,5
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2019";39;114;8,7
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2020";29;102;7,9
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2021";23;82;6,9
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2022";36;94;9,9
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Flevoland (PV)";"2023";35;124;10,9
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2018";51;189;14,7
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2019";49;189;14,4
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2020";32;117;8,9
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2021";29;110;8,3
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2022";37;159;11,5
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Gelderland (PV)";"2023";39;163;12,1
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2018";51;199;15,6
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2019";50;183;14,8
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2020";32;112;9
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2021";34;126;10,4
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2022";42;156;12,9
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Utrecht (PV)";"2023";42;162;13,4
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2018";41;131;11,1
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2019";42;144;12
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2020";25;81;7,2
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2021";28;88;7,8
"Attending education/courses";"Population 6 years or older";"Bike";"Value";"Noord-Holland (PV)";"2022";35;116;10,3
