Travel motives,population,Travel modes,margins,Regions,Year,Average number of trips per person per year,Average kilometers travelled per person per year,Average hours travelled per person per year
Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2021,327.0,5591.0,129.2
Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2022,328.0,5920.0,132.2
Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2023,363.0,6295.0,141.1
Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2018,363.0,8381.0,165.7
Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2019,353.0,7587.0,153.1
Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2020,315.0,6320.0,124.0
Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2021,291.0,6000.0,123.2
Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2022,322.0,6829.0,141.4
Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2023,353.0,7648.0,159.9
Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2018,380.0,7395.0,160.9
Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2019,383.0,7613.0,164.4
Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2020,318.0,5458.0,123.8
Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2021,328.0,5684.0,132.6
Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2022,354.0,6112.0,142.3
Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2023,362.0,6541.0,150.4
Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2018,331.0,6829.0,146.2
Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2019,324.0,7256.0,156.2
Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2020,268.0,5017.0,112.7
Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2021,277.0,5168.0,117.2
Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2022,298.0,5588.0,128.4
Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2023,303.0,5979.0,136.9
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2018,290.0,5916.0,136.7
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2019,281.0,5525.0,133.2
