Travel motives,population,Travel modes,margins,Regions,Year,Average number of trips per person per year,Average kilometers travelled per person per year,Average hours travelled per person per year
Visits including staying overnight,Population 6 years or older,Bike,Value,Zuid-Holland (PV),2019,20.0,60.0,5.1
Visits including staying overnight,Population 6 years or older,Bike,Value,Zuid-Holland (PV),2020,18.0,63.0,5.3
Visits including staying overnight,Population 6 years or older,Bike,Value,Zuid-Holland (PV),2021,18.0,68.0,6.0
Visits including staying overnight,Population 6 years or older,Bike,Value,Zuid-Holland (PV),2022,18.0,60.0,5.0
Visits including staying overnight,Population 6 years or older,Bike,Value,Zuid-Holland (PV),2023,18.0,61.0,5.0
Visits including staying overnight,Population 6 years or older,Bike,Value,Zeeland (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Bike,Value,Zeeland (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Bike,Value,Zeeland (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Bike,Value,Zeeland (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Bike,Value,Zeeland (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Bike,Value,Zeeland (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Bike,Value,Noord-Brabant (PV),2018,25.0,102.0,8.0
Visits including staying overnight,Population 6 years or older,Bike,Value,Noord-Brabant (PV),2019,23.0,74.0,6.5
Visits including staying overnight,Population 6 years or older,Bike,Value,Noord-Brabant (PV),2020,22.0,68.0,5.8
Visits including staying overnight,Population 6 years or older,Bike,Value,Noord-Brabant (PV),2021,24.0,75.0,6.4
Visits including staying overnight,Population 6 years or older,Bike,Value,Noord-Brabant (PV),2022,25.0,93.0,7.6
Visits including staying overnight,Population 6 years or older,Bike,Value,Noord-Brabant (PV),2023,23.0,86.0,6.7
Visits including staying overnight,Population 6 years or older,Bike,Value,Limburg (PV),2018,15.0,48.0,3.8
Visits including staying overnight,Population 6 years or older,Bike,Value,Limburg (PV),2019,20.0,61.0,5.3
Visits including staying overnight,Population 6 years or older,Bike,Value,Limburg (PV),2020,17.0,54.0,5.6
Visits including staying overnight,Population 6 years or older,Bike,Value,Limburg (PV),2021,17.0,54.0,4.9
Visits including staying overnight,Population 6 years or older,Bike,Value,Limburg (PV),2022,17.0,57.0,4.4
Visits including staying overnight,Population 6 years or older,Bike,Value,Limburg (PV),2023,16.0,48.0,4.0
Visits including staying overnight,Population 6 years or older,Walking,Value,The Netherlands,2018,11.0,14.0,2.1
Visits including staying overnight,Population 6 years or older,Walking,Value,The Netherlands,2019,12.0,15.0,2.4
Visits including staying overnight,Population 6 years or older,Walking,Value,The Netherlands,2020,12.0,12.0,2.0
Visits including staying overnight,Population 6 years or older,Walking,Value,The Netherlands,2021,15.0,16.0,3.1
Visits including staying overnight,Population 6 years or older,Walking,Value,The Netherlands,2022,13.0,14.0,2.6
Visits including staying overnight,Population 6 years or older,Walking,Value,The Netherlands,2023,12.0,14.0,2.3
Visits including staying overnight,Population 6 years or older,Walking,Value,Groningen (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Groningen (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Groningen (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Groningen (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Groningen (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Groningen (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Fryslân (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Fryslân (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Fryslân (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Fryslân (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Fryslân (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Fryslân (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Drenthe (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Drenthe (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Drenthe (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Drenthe (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Drenthe (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Drenthe (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Overijssel (PV),2018,8.0,10.0,
Visits including staying overnight,Population 6 years or older,Walking,Value,Overijssel (PV),2019,13.0,11.0,1.6
Visits including staying overnight,Population 6 years or older,Walking,Value,Overijssel (PV),2020,11.0,9.0,1.4
Visits including staying overnight,Population 6 years or older,Walking,Value,Overijssel (PV),2021,18.0,14.0,
Visits including staying overnight,Population 6 years or older,Walking,Value,Overijssel (PV),2022,15.0,12.0,
Visits including staying overnight,Population 6 years or older,Walking,Value,Overijssel (PV),2023,14.0,7.0,1.2
Visits including staying overnight,Population 6 years or older,Walking,Value,Flevoland (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Flevoland (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Flevoland (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Flevoland (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Flevoland (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Flevoland (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Gelderland (PV),2018,11.0,12.0,2.1
Visits including staying overnight,Population 6 years or older,Walking,Value,Gelderland (PV),2019,11.0,13.0,2.0
Visits including staying overnight,Population 6 years or older,Walking,Value,Gelderland (PV),2020,15.0,12.0,2.1
Visits including staying overnight,Population 6 years or older,Walking,Value,Gelderland (PV),2021,14.0,15.0,2.7
Visits including staying overnight,Population 6 years or older,Walking,Value,Gelderland (PV),2022,12.0,11.0,2.0
Visits including staying overnight,Population 6 years or older,Walking,Value,Gelderland (PV),2023,12.0,12.0,2.0
Visits including staying overnight,Population 6 years or older,Walking,Value,Utrecht (PV),2018,12.0,13.0,
Visits including staying overnight,Population 6 years or older,Walking,Value,Utrecht (PV),2019,10.0,14.0,1.4
Visits including staying overnight,Population 6 years or older,Walking,Value,Utrecht (PV),2020,14.0,11.0,1.9
Visits including staying overnight,Population 6 years or older,Walking,Value,Utrecht (PV),2021,15.0,13.0,2.8
Visits including staying overnight,Population 6 years or older,Walking,Value,Utrecht (PV),2022,12.0,12.0,2.1
Visits including staying overnight,Population 6 years or older,Walking,Value,Utrecht (PV),2023,11.0,15.0,
Visits including staying overnight,Population 6 years or older,Walking,Value,Noord-Holland (PV),2018,10.0,14.0,1.9
Visits including staying overnight,Population 6 years or older,Walking,Value,Noord-Holland (PV),2019,10.0,18.0,2.6
Visits including staying overnight,Population 6 years or older,Walking,Value,Noord-Holland (PV),2020,11.0,13.0,1.9
Visits including staying overnight,Population 6 years or older,Walking,Value,Noord-Holland (PV),2021,13.0,18.0,2.9
Visits including staying overnight,Population 6 years or older,Walking,Value,Noord-Holland (PV),2022,11.0,15.0,2.6
Visits including staying overnight,Population 6 years or older,Walking,Value,Noord-Holland (PV),2023,11.0,16.0,2.4
Visits including staying overnight,Population 6 years or older,Walking,Value,Zuid-Holland (PV),2018,12.0,16.0,2.5
Visits including staying overnight,Population 6 years or older,Walking,Value,Zuid-Holland (PV),2019,11.0,16.0,2.0
Visits including staying overnight,Population 6 years or older,Walking,Value,Zuid-Holland (PV),2020,11.0,11.0,1.9
Visits including staying overnight,Population 6 years or older,Walking,Value,Zuid-Holland (PV),2021,15.0,17.0,3.0
Visits including staying overnight,Population 6 years or older,Walking,Value,Zuid-Holland (PV),2022,14.0,16.0,2.5
Visits including staying overnight,Population 6 years or older,Walking,Value,Zuid-Holland (PV),2023,13.0,18.0,3.0
Visits including staying overnight,Population 6 years or older,Walking,Value,Zeeland (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Zeeland (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Zeeland (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Zeeland (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Zeeland (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Zeeland (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Walking,Value,Noord-Brabant (PV),2018,14.0,14.0,2.1
Visits including staying overnight,Population 6 years or older,Walking,Value,Noord-Brabant (PV),2019,14.0,14.0,2.0
Visits including staying overnight,Population 6 years or older,Walking,Value,Noord-Brabant (PV),2020,15.0,15.0,2.6
Visits including staying overnight,Population 6 years or older,Walking,Value,Noord-Brabant (PV),2021,17.0,18.0,3.6
Visits including staying overnight,Population 6 years or older,Walking,Value,Noord-Brabant (PV),2022,15.0,18.0,3.5
Visits including staying overnight,Population 6 years or older,Walking,Value,Noord-Brabant (PV),2023,13.0,12.0,2.3
Visits including staying overnight,Population 6 years or older,Walking,Value,Limburg (PV),2018,16.0,17.0,3.0
Visits including staying overnight,Population 6 years or older,Walking,Value,Limburg (PV),2019,16.0,18.0,
Visits including staying overnight,Population 6 years or older,Walking,Value,Limburg (PV),2020,13.0,11.0,1.9
Visits including staying overnight,Population 6 years or older,Walking,Value,Limburg (PV),2021,17.0,17.0,3.5
Visits including staying overnight,Population 6 years or older,Walking,Value,Limburg (PV),2022,17.0,20.0,3.8
Visits including staying overnight,Population 6 years or older,Walking,Value,Limburg (PV),2023,18.0,16.0,3.0
Visits including staying overnight,Population 6 years or older,Other,Value,The Netherlands,2018,3.0,74.0,1.8
Visits including staying overnight,Population 6 years or older,Other,Value,The Netherlands,2019,3.0,48.0,1.2
Visits including staying overnight,Population 6 years or older,Other,Value,The Netherlands,2020,2.0,36.0,1.1
Visits including staying overnight,Population 6 years or older,Other,Value,The Netherlands,2021,3.0,35.0,1.3
Visits including staying overnight,Population 6 years or older,Other,Value,The Netherlands,2022,3.0,41.0,1.3
Visits including staying overnight,Population 6 years or older,Other,Value,The Netherlands,2023,2.0,38.0,1.1
Visits including staying overnight,Population 6 years or older,Other,Value,Groningen (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Groningen (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Groningen (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Groningen (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Groningen (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Groningen (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Fryslân (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Fryslân (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Fryslân (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Fryslân (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Fryslân (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Fryslân (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Drenthe (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Drenthe (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Drenthe (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Drenthe (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Drenthe (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Drenthe (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Overijssel (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Overijssel (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Overijssel (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Overijssel (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Overijssel (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Overijssel (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Flevoland (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Flevoland (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Flevoland (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Flevoland (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Flevoland (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Flevoland (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Gelderland (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Gelderland (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Gelderland (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Gelderland (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Gelderland (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Gelderland (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Utrecht (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Utrecht (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Utrecht (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Utrecht (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Utrecht (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Utrecht (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Noord-Holland (PV),2018,4.0,52.0,2.0
Visits including staying overnight,Population 6 years or older,Other,Value,Noord-Holland (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Noord-Holland (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Noord-Holland (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Noord-Holland (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Noord-Holland (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Zuid-Holland (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Zuid-Holland (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Zuid-Holland (PV),2020,2.0,,
Visits including staying overnight,Population 6 years or older,Other,Value,Zuid-Holland (PV),2021,3.0,,
Visits including staying overnight,Population 6 years or older,Other,Value,Zuid-Holland (PV),2022,3.0,36.0,1.5
Visits including staying overnight,Population 6 years or older,Other,Value,Zuid-Holland (PV),2023,2.0,,1.0
Visits including staying overnight,Population 6 years or older,Other,Value,Zeeland (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Zeeland (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Zeeland (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Zeeland (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Zeeland (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Zeeland (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Noord-Brabant (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Noord-Brabant (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Noord-Brabant (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Noord-Brabant (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Noord-Brabant (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Noord-Brabant (PV),2023,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Limburg (PV),2018,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Limburg (PV),2019,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Limburg (PV),2020,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Limburg (PV),2021,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Limburg (PV),2022,,,
Visits including staying overnight,Population 6 years or older,Other,Value,Limburg (PV),2023,,,
"Leisure, sports",Population 6 years or older,Total,Value,The Netherlands,2018,187.0,2243.0,87.7
"Leisure, sports",Population 6 years or older,Total,Value,The Netherlands,2019,186.0,2440.0,90.1
"Leisure, sports",Population 6 years or older,Total,Value,The Netherlands,2020,131.0,1467.0,69.2
"Leisure, sports",Population 6 years or older,Total,Value,The Netherlands,2021,137.0,1715.0,79.5
"Leisure, sports",Population 6 years or older,Total,Value,The Netherlands,2022,175.0,2078.0,88.5
"Leisure, sports",Population 6 years or older,Total,Value,The Netherlands,2023,182.0,2304.0,90.2
"Leisure, sports",Population 6 years or older,Total,Value,Groningen (PV),2018,184.0,2449.0,93.1
"Leisure, sports",Population 6 years or older,Total,Value,Groningen (PV),2019,167.0,2705.0,92.8
"Leisure, sports",Population 6 years or older,Total,Value,Groningen (PV),2020,122.0,1815.0,73.0
"Leisure, sports",Population 6 years or older,Total,Value,Groningen (PV),2021,116.0,1789.0,70.5
"Leisure, sports",Population 6 years or older,Total,Value,Groningen (PV),2022,157.0,2133.0,82.8
"Leisure, sports",Population 6 years or older,Total,Value,Groningen (PV),2023,185.0,2475.0,95.3
"Leisure, sports",Population 6 years or older,Total,Value,Fryslân (PV),2018,166.0,2095.0,77.2
"Leisure, sports",Population 6 years or older,Total,Value,Fryslân (PV),2019,182.0,2811.0,97.1
"Leisure, sports",Population 6 years or older,Total,Value,Fryslân (PV),2020,135.0,1743.0,69.8
"Leisure, sports",Population 6 years or older,Total,Value,Fryslân (PV),2021,135.0,2134.0,83.2
"Leisure, sports",Population 6 years or older,Total,Value,Fryslân (PV),2022,157.0,2485.0,91.7
"Leisure, sports",Population 6 years or older,Total,Value,Fryslân (PV),2023,164.0,2208.0,78.5
"Leisure, sports",Population 6 years or older,Total,Value,Drenthe (PV),2018,177.0,2589.0,87.8
"Leisure, sports",Population 6 years or older,Total,Value,Drenthe (PV),2019,187.0,2634.0,80.9
"Leisure, sports",Population 6 years or older,Total,Value,Drenthe (PV),2020,125.0,1199.0,55.6
"Leisure, sports",Population 6 years or older,Total,Value,Drenthe (PV),2021,119.0,1591.0,81.4
"Leisure, sports",Population 6 years or older,Total,Value,Drenthe (PV),2022,155.0,2275.0,85.9
"Leisure, sports",Population 6 years or older,Total,Value,Drenthe (PV),2023,158.0,2375.0,73.6
"Leisure, sports",Population 6 years or older,Total,Value,Overijssel (PV),2018,191.0,2234.0,81.0
"Leisure, sports",Population 6 years or older,Total,Value,Overijssel (PV),2019,189.0,2747.0,87.6
"Leisure, sports",Population 6 years or older,Total,Value,Overijssel (PV),2020,129.0,1550.0,64.5
"Leisure, sports",Population 6 years or older,Total,Value,Overijssel (PV),2021,135.0,1448.0,70.8
"Leisure, sports",Population 6 years or older,Total,Value,Overijssel (PV),2022,188.0,2343.0,84.1
"Leisure, sports",Population 6 years or older,Total,Value,Overijssel (PV),2023,185.0,2551.0,88.7
"Leisure, sports",Population 6 years or older,Total,Value,Flevoland (PV),2018,158.0,2244.0,73.3
"Leisure, sports",Population 6 years or older,Total,Value,Flevoland (PV),2019,154.0,2312.0,73.4
"Leisure, sports",Population 6 years or older,Total,Value,Flevoland (PV),2020,115.0,1660.0,64.1
"Leisure, sports",Population 6 years or older,Total,Value,Flevoland (PV),2021,103.0,2001.0,76.9
"Leisure, sports",Population 6 years or older,Total,Value,Flevoland (PV),2022,154.0,2650.0,89.0
"Leisure, sports",Population 6 years or older,Total,Value,Flevoland (PV),2023,169.0,2681.0,90.1
"Leisure, sports",Population 6 years or older,Total,Value,Gelderland (PV),2018,193.0,2641.0,89.3
"Leisure, sports",Population 6 years or older,Total,Value,Gelderland (PV),2019,198.0,2364.0,92.3
"Leisure, sports",Population 6 years or older,Total,Value,Gelderland (PV),2020,132.0,1556.0,66.5
"Leisure, sports",Population 6 years or older,Total,Value,Gelderland (PV),2021,137.0,1790.0,75.2
"Leisure, sports",Population 6 years or older,Total,Value,Gelderland (PV),2022,186.0,2210.0,94.2
"Leisure, sports",Population 6 years or older,Total,Value,Gelderland (PV),2023,180.0,2314.0,83.9
"Leisure, sports",Population 6 years or older,Total,Value,Utrecht (PV),2018,201.0,2286.0,92.9
"Leisure, sports",Population 6 years or older,Total,Value,Utrecht (PV),2019,207.0,2707.0,92.1
"Leisure, sports",Population 6 years or older,Total,Value,Utrecht (PV),2020,142.0,1526.0,74.7
"Leisure, sports",Population 6 years or older,Total,Value,Utrecht (PV),2021,155.0,1806.0,84.5
"Leisure, sports",Population 6 years or older,Total,Value,Utrecht (PV),2022,200.0,2422.0,97.5
"Leisure, sports",Population 6 years or older,Total,Value,Utrecht (PV),2023,208.0,2811.0,100.1
"Leisure, sports",Population 6 years or older,Total,Value,Noord-Holland (PV),2018,193.0,2192.0,92.7
"Leisure, sports",Population 6 years or older,Total,Value,Noord-Holland (PV),2019,188.0,2370.0,99.4
"Leisure, sports",Population 6 years or older,Total,Value,Noord-Holland (PV),2020,135.0,1502.0,74.9
"Leisure, sports",Population 6 years or older,Total,Value,Noord-Holland (PV),2021,144.0,1784.0,91.5
"Leisure, sports",Population 6 years or older,Total,Value,Noord-Holland (PV),2022,179.0,1974.0,96.7
"Leisure, sports",Population 6 years or older,Total,Value,Noord-Holland (PV),2023,187.0,2245.0,100.0
"Leisure, sports",Population 6 years or older,Total,Value,Zuid-Holland (PV),2018,186.0,2089.0,91.1
"Leisure, sports",Population 6 years or older,Total,Value,Zuid-Holland (PV),2019,183.0,2459.0,94.7
"Leisure, sports",Population 6 years or older,Total,Value,Zuid-Holland (PV),2020,127.0,1372.0,74.3
"Leisure, sports",Population 6 years or older,Total,Value,Zuid-Holland (PV),2021,138.0,1784.0,84.3
"Leisure, sports",Population 6 years or older,Total,Value,Zuid-Holland (PV),2022,173.0,1888.0,88.4
"Leisure, sports",Population 6 years or older,Total,Value,Zuid-Holland (PV),2023,182.0,2178.0,93.5
"Leisure, sports",Population 6 years or older,Total,Value,Zeeland (PV),2018,177.0,2135.0,81.5
"Leisure, sports",Population 6 years or older,Total,Value,Zeeland (PV),2019,184.0,2186.0,69.9
"Leisure, sports",Population 6 years or older,Total,Value,Zeeland (PV),2020,135.0,1834.0,74.8
"Leisure, sports",Population 6 years or older,Total,Value,Zeeland (PV),2021,132.0,1662.0,71.0
"Leisure, sports",Population 6 years or older,Total,Value,Zeeland (PV),2022,169.0,1716.0,75.4
"Leisure, sports",Population 6 years or older,Total,Value,Zeeland (PV),2023,201.0,1950.0,73.4
"Leisure, sports",Population 6 years or older,Total,Value,Noord-Brabant (PV),2018,185.0,2158.0,83.0
"Leisure, sports",Population 6 years or older,Total,Value,Noord-Brabant (PV),2019,184.0,2264.0,82.1
"Leisure, sports",Population 6 years or older,Total,Value,Noord-Brabant (PV),2020,132.0,1398.0,65.9
"Leisure, sports",Population 6 years or older,Total,Value,Noord-Brabant (PV),2021,134.0,1514.0,69.1
"Leisure, sports",Population 6 years or older,Total,Value,Noord-Brabant (PV),2022,172.0,2030.0,82.5
"Leisure, sports",Population 6 years or older,Total,Value,Noord-Brabant (PV),2023,181.0,2414.0,89.6
"Leisure, sports",Population 6 years or older,Total,Value,Limburg (PV),2018,182.0,2168.0,82.7
"Leisure, sports",Population 6 years or older,Total,Value,Limburg (PV),2019,175.0,2163.0,76.8
"Leisure, sports",Population 6 years or older,Total,Value,Limburg (PV),2020,122.0,1102.0,52.7
"Leisure, sports",Population 6 years or older,Total,Value,Limburg (PV),2021,130.0,1484.0,73.3
"Leisure, sports",Population 6 years or older,Total,Value,Limburg (PV),2022,160.0,1710.0,71.1
"Leisure, sports",Population 6 years or older,Total,Value,Limburg (PV),2023,166.0,1647.0,73.2
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,The Netherlands,2018,48.0,869.0,20.5
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,The Netherlands,2019,51.0,938.0,21.7
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,The Netherlands,2020,34.0,578.0,14.3
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,The Netherlands,2021,32.0,636.0,15.4
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,The Netherlands,2022,43.0,785.0,19.0
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,The Netherlands,2023,48.0,853.0,20.4
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2018,43.0,787.0,20.4
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2019,48.0,,25.0
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2020,31.0,,16.6
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2021,27.0,,
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2022,33.0,668.0,14.8
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2023,45.0,770.0,19.4
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2018,46.0,924.0,18.4
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2019,44.0,870.0,16.6
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2020,38.0,704.0,14.6
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2021,34.0,764.0,15.4
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2022,50.0,1118.0,23.3
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2023,42.0,799.0,16.2
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2018,51.0,1205.0,25.7
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2019,69.0,1369.0,27.5
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2020,34.0,402.0,12.3
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2021,30.0,436.0,12.6
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2022,57.0,1033.0,25.3
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2023,53.0,770.0,19.7
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2018,54.0,913.0,21.7
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2019,49.0,939.0,21.9
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2020,31.0,585.0,12.7
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2021,30.0,454.0,12.4
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2022,40.0,750.0,17.6
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2023,47.0,856.0,20.7
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2018,46.0,894.0,18.0
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2019,47.0,717.0,16.5
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2020,34.0,685.0,13.5
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2021,21.0,696.0,13.9
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2022,45.0,1152.0,23.9
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2023,57.0,1537.0,30.4
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2018,54.0,1146.0,24.0
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2019,55.0,1019.0,23.5
"Leisure, sports",Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2020,39.0,678.0,16.6
